City,State,Zipcode,Rank,Score,Superzip,Population,College,Income,Lat,Long
Agawam,MA,01001,6115,60.37489,0,12293,22.06947,73.40212,42.142187647831044,-72.7849506554824
Amherst,MA,01002,975,93.69713,0,14232,68.52867,82.63116,42.36627550073229,-72.45404402207352
Barre,MA,01005,6511,58.31555,0,3348,20.51971,73.19553,42.33091764202886,-72.1405082491731
Belchertown,MA,01007,3914,73.90479,0,8577,31.38627,79.51516,42.280558237244385,-72.39518012684783
Blandford,MA,01008,4922,67.29552,0,845,25.79882,77.63875,42.17908577724769,-72.95775776063726
Brimfield,MA,01010,4540,69.76566,0,2252,27.79751,78.38147,42.108595402858256,-72.19019443946101
Chester,MA,01011,7461,53.51199,0,1392,20.97701,66.25217,42.29275141750315,-72.95633607131748
Chesterfield,MA,01012,NA,61.43032,0,353,23.22946,72.73525,42.3923690201843,-72.80967961020505
Chicopee,MA,01013,16563,19.7488,0,15464,10.79281,52.71066,42.162664650268304,-72.65367005250414
Chicopee,MA,01020,11659,35.73232,0,20681,13.210189999999999,61.70303,42.17819029159323,-72.56426190019111
Chicopee,MA,01022,10063,41.91482,0,1550,15.80645,62.83802,42.19425476144255,-72.5410199526629
Cummington,MA,01026,4326,71.10106,0,715,38.46154,62.55689,42.428979340320836,-72.90301447035743
Easthampton,MA,01027,5702,62.67937,0,12506,24.83608,71.93761,42.36844122530396,-72.77873217368716
East Longmeadow,MA,01028,2888,80.53981,0,9871,32.67146,92.616,42.06276081922317,-72.48817013385869
East Otis,MA,01029,NA,57.07029,0,402,24.62687,64.56275,42.19118747706888,-73.05209942005543
Feeding Hills,MA,01030,5401,64.45013,0,7865,20.47044,82.06367,42.19062652058251,-72.7963096371831
Gilbertville,MA,01031,7922,51.39536,0,798,16.91729,70.51756,42.35449686149274,-72.2092120865831
Goshen,MA,01032,NA,76.05653,0,157,42.67516,64.56275,42.4440311203773,-72.80064686465963
Granby,MA,01033,5749,62.46228,0,4156,22.95476,74.83395,42.26366526492577,-72.51103091189904
Granville,MA,01034,3939,73.71946,0,1332,31.00601,79.89828,42.11377040024135,-72.96808370284128
Hadley,MA,01035,2802,81.09335,0,3486,40.2467,80.93652,42.355446126581626,-72.58673256738308
